Designator,Mid X,Mid Y,Rotation,Layer
AE1,28.364533,21.1732,90.0,top
AE2,18.396867,-27.7645,270.0,top
AE3,43.8988,-27.7772,270.0,top
AE4,2.862599,21.1732,90.0,top
BOOT0,-3.9394,10.2722,180.0,top
Card1,-42.923,17.0076,180.0,top
D1,-5.9436,-26.1112,90.0,top
J1,-46.8122,5.4102,90.0,top
J10,-22.2604,-22.0672,270.0,top
J2,25.9946,-0.2032,270.0,top
J3,47.625,3.556,0.0,top
J4,-17.5668,-17.2974,90.0,top
J5,42.2148,-4.1148,0.0,top
J6,3.3528,-3.678,0.0,top
J7,-11.3284,1.8034,0.0,top
J8,-32.4104,-12.7966,0.0,top
J9,-22.2604,-28.1632,270.0,top
R1,-8.8392,-20.9042,0.0,top
R2,-18.4169,-20.8534,0.0,top
R3,-13.3858,22.8835,90.0,top
R4,-5.9436,-21.9183,90.0,top
RST1,-10.4394,24.7438,0.0,top
U1,-24.3336,13.8318,0.0,top
U10,-28.4988,-5.3086,90.0,top
U2,6.603667,-20.7645,180.0,top
U3,40.132333,13.9192,180.0,top
U4,32.1056,-20.7518,180.0,top
U5,14.655799,13.9192,180.0,top
U6,-37.3634,-1.6256,270.0,top
U7,35.5346,-3.0226,90.0,top
U8,-46.2534,-11.684,90.0,top
U9,9.8158,-3.0476,90.0,top
USB1,-13.7668,-25.3335,0.0,top
